mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
19.056,76.5,20.450069914931333,0.3333333333333333,3,meta,3
15.145,74.7,15.23084390458294,0.14285714285714285,7,meta,3
13.420000000000002,75.4,13.144941780282219,0.07142857142857142,14,meta,3
9.584999999999997,74.5,8.75956747682015,0.05,20,meta,3
7.109,70.5,6.251423202404175,0.03333333333333333,30,meta,3
4.810999999999997,54.7,3.8739231779375687,0.025,40,meta,3
2.699000000000001,35,2.0321303075392367,0.02,50,meta,3
1.4610000000000012,22.400000000000002,1.0437893423034934,0.016666666666666666,60,meta,3
0.7780000000000005,11.4,0.5187651008280181,0.014285714285714285,70,meta,3
0.3180000000000003,5.3,0.19415980410225567,0.0125,80,meta,3
0.11900000000000018,2,0.07495627349520965,0.011111111111111112,90,meta,3
0.06399999999999995,1.2,0.03930723774829089,0.01,100,meta,3
0.036999999999999984,0.5,0.019041060032067944,0.00909090909090909,110,meta,3
0.003000000000000029,0.1,0.0022556390977443415,0.008333333333333333,120,meta,3
0.003999999999999997,0.1,0.0019900497512438066,0.007692307692307693,130,meta,3
0,0,0,0.006666666666666667,150,meta,3
0,0,0,0.005555555555555556,180,meta,3
0,0,0,0.004545454545454545,220,meta,3
0,0,0,0.003703703703703704,270,meta,3
0,0,0,0.0027397260273972603,365,meta,3
