mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
79.58200000000001,66.10000000000001,18.591643335535316,1,1,single,14
71.91199999999998,66.5,16.117547151403457,0.3333333333333333,3,single,14
59.39500000000001,67.5,12.563573961052782,0.14285714285714285,7,single,14
52.99899999999999,68.30000000000001,10.894391457015633,0.1,10,single,14
37.01799999999998,67.4,7.208472268158012,0.05,20,single,14
28.58599999999999,67.5,5.428584378496624,0.03333333333333333,30,single,14
23.909999999999997,67.80000000000001,4.465064224153548,0.025,40,single,14
19.688000000000006,67.7,3.630709221718388,0.02,50,single,14
17.876,67.7,3.2726163184591592,0.016666666666666666,60,single,14
15.025999999999998,67.5,2.7334042997967396,0.014285714285714285,70,single,14
13.426,66.7,2.4312883242777636,0.0125,80,single,14
11.669999999999998,64.8,2.107097090843103,0.011111111111111112,90,single,14
9.734,59.9,1.7574218864949394,0.01,100,single,14
8.328999999999995,53.6,1.4923083010644445,0.00909090909090909,110,single,14
6.4179999999999975,46.7,1.1471120177737852,0.008333333333333333,120,single,14
4.99,39.2,0.8875800714846792,0.007692307692307693,130,single,14
2.7979999999999987,23.599999999999998,0.49713789695328736,0.006666666666666667,150,single,14
0.868,8.7,0.1533740890948779,0.005555555555555556,180,single,14
0.19899999999999987,2.6,0.03514514772362992,0.004545454545454545,220,single,14
0.02100000000000007,0.2,0.0035853330501875733,0.003703703703703704,270,single,14
0,0,0,0.0027397260273972603,365,single,14
