mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
17.193,67.10000000000001,18.67631376638818,1,1,single,3
15.392999999999994,67.30000000000001,16.017294428815735,0.3333333333333333,3,single,3
12.562999999999999,67.5,12.400520744672805,0.14285714285714285,7,single,3
11.410999999999998,68.4,10.818431823075771,0.1,10,single,3
7.631999999999996,65,6.8519968555045025,0.05,20,single,3
5.125,54.6,4.288242301090087,0.03333333333333333,30,single,3
3.071000000000001,38.5,2.3898223258316507,0.025,40,single,3
1.5899999999999979,22,1.1519145586875381,0.02,50,single,3
0.6750000000000008,9.9,0.46607834908192375,0.016666666666666666,60,single,3
0.22699999999999976,4,0.14701017029506458,0.014285714285714285,70,single,3
0.1279999999999999,2.1,0.08337454558484533,0.0125,80,single,3
0.008999999999999949,0.3,0.006707825683522749,0.01,100,single,3
0,0,0,0.006666666666666667,150,single,3
0,0,0,0.005555555555555556,180,single,3
0,0,0,0.0027397260273972603,365,single,3
