mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
40.94899999999999,68.5,19.32833409108397,1,1,single,7
37.034000000000006,69.6,16.6704274361146,0.3333333333333333,3,single,7
30.340999999999994,68.8,12.830961176963623,0.14285714285714285,7,single,7
26.577,68.60000000000001,10.968814849726593,0.1,10,single,7
18.677000000000003,68.60000000000001,7.307054660991599,0.05,20,single,7
14.652999999999999,68.60000000000001,5.5539592027957205,0.03333333333333333,30,single,7
11.819,68.60000000000001,4.397984049793361,0.025,40,single,7
9.58,66.8,3.5112680052368432,0.02,50,single,7
7.754,61.7,2.8134736724101015,0.016666666666666666,60,single,7
6.199999999999999,53,2.216020408533781,0.014285714285714285,70,single,7
4.142999999999999,39.900000000000006,1.4454209972447563,0.0125,80,single,7
2.6930000000000005,28.599999999999998,0.9291043323720345,0.011111111111111112,90,single,7
1.491999999999999,17.5,0.5081519221647967,0.01,100,single,7
1.1080000000000005,12.9,0.3736095796425732,0.00909090909090909,110,single,7
0.547999999999999,6.9,0.17956575241494432,0.008333333333333333,120,single,7
0.32899999999999974,4.7,0.10580546191866291,0.007692307692307693,130,single,7
0.12399999999999986,1.7000000000000002,0.039967711765209996,0.006666666666666667,150,single,7
0.015000000000000121,0.3,0.004430894289579066,0.005555555555555556,180,single,7
0,0,0,0.0027397260273972603,365,single,7
